itemsets,support,itemsets_strings
frozenset({'Monitor'}),0.032565767849226566,Monitor
frozenset({'Accessories'}),0.1720086100384148,Accessories
frozenset({'Accessory'}),0.17201029563716475,Accessory
frozenset({'Dress'}),0.07839382666313814,Dress
frozenset({'Dressing Room'}),0.014583800384653635,Dressing Room
frozenset({'Drink'}),0.04868683429384369,Drink
frozenset({'Mouth'}),0.021189661885746745,Mouth
frozenset({'Musical Instrument'}),0.03262476380547516,Musical Instrument
frozenset({'Door'}),0.06686601681216194,Door
frozenset({'Table'}),0.06862578190712014,Table
frozenset({'Dungeon'}),0.017744298040828572,Dungeon
frozenset({'Nature'}),0.0633515434184954,Nature
frozenset({'Ear'}),0.020984018838251628,Ear
frozenset({'Necklace'}),0.021779621448232735,Necklace
frozenset({'Necktie'}),0.011310367612231378,Necktie
frozenset({'Newborn'}),0.017477973438334897,Newborn
frozenset({'Electronics'}),0.07103955931706281,Electronics
frozenset({'Night Club'}),0.018192667308317922,Night Club
frozenset({'Night Life'}),0.0691618023096074,Night Life
frozenset({'Teen'}),0.2032545540664227,Teen
frozenset({'Teeth'}),0.010529935390999914,Teeth
frozenset({'Evening Dress'}),0.12947083998442507,Evening Dress
frozenset({'Animal'}),0.01988500845327773,Animal
frozenset({'Fashion'}),0.2053177269363737,Fashion
frozenset({'Female'}),1.0,Female
frozenset({'Apparel'}),0.8443501258299467,Apparel
frozenset({'Outdoors'}),0.10322606744754838,Outdoors
frozenset({'Overcoat'}),0.16252374587239007,Overcoat
frozenset({'Tie'}),0.054955576044944804,Tie
frozenset({'Finger'}),0.1617601696386582,Finger
frozenset({'Architecture'}),0.015354119013385339,Architecture
frozenset({'Arm'}),0.01888207719705155,Arm
frozenset({'Classroom'}),0.011961008729715925,Classroom
frozenset({'Pants'}),0.05316378457373736,Pants
frozenset({'Paper'}),0.010332720337254598,Paper
frozenset({'Art'}),0.04024367015529421,Art
frozenset({'Asleep'}),0.011023815824738185,Asleep
frozenset({'Town'}),0.010570389760998953,Town
frozenset({'Floor'}),0.01478101543839895,Floor
frozenset({'Flooring'}),0.017562253375832896,Flooring
frozenset({'Party'}),0.02145935768574034,Party
frozenset({'Flower'}),0.05647598611740869,Flower
frozenset({'Audience'}),0.06908426476710924,Audience
frozenset({'Flower Bouquet'}),0.013452763623430498,Flower Bouquet
frozenset({'Pottery'}),0.021897613360729932,Pottery
frozenset({'Path'}),0.011092925373486544,Path
frozenset({'Automobile'}),0.01649189816960832,Automobile
frozenset({'Tree'}),0.04066338424403425,Tree
frozenset({'Pc'}),0.010393401892253157,Pc
frozenset({'Baby'}),0.021309339396993903,Baby
frozenset({'Food'}),0.0700753968320857,Food
frozenset({'Food Court'}),0.025759320096888215,Food Court
frozenset({'Footwear'}),0.029540118093048424,Footwear
frozenset({'Pendant'}),0.012154852585961322,Pendant
frozenset({'People'}),0.2372918496243643,People
frozenset({'People Kissing'}),0.029405270193051624,People Kissing
frozenset({'People Laughing'}),0.03830523159284025,People Laughing
frozenset({'Performer'}),0.08788711882291268,Performer
frozenset({'Tuxedo'}),0.031606662160499344,Tuxedo
frozenset({'Banister'}),0.011403075543479177,Banister
frozenset({'Bar Counter'}),0.12328974936832186,Bar Counter
frozenset({'Urban'}),0.01897647072704931,Urban
frozenset({'Advertisement'}),0.011608718590974293,Advertisement
frozenset({'Furniture'}),0.2373019632168641,Furniture
frozenset({'Vacation'}),0.012043603068463964,Vacation
frozenset({'Photography'}),0.27404970156474134,Photography
frozenset({'Piano'}),0.01225767410970888,Piano
frozenset({'Vegetation'}),0.022286986671970686,Vegetation
frozenset({'Vehicle'}),0.035092480375416554,Vehicle
frozenset({'Transportation'}),0.03568749673415242,Transportation
frozenset({'Pillow'}),0.02867203473681904,Pillow
frozenset({'Undershirt'}),0.010904138313491027,Undershirt
frozenset({'Table Lamp'}),0.03585099981289854,Table Lamp
frozenset({'Vigil'}),0.014460751675906557,Vigil
frozenset({'Girl'}),0.3593308847202159,Girl
frozenset({'Alcohol'}),0.026873500870611754,Alcohol
frozenset({'Glasses'}),0.03494751888292,Glasses
frozenset({'Plant'}),0.16965719978222063,Plant
frozenset({'Club'}),0.02514070535565291,Club
frozenset({'Bed'}),0.02408552053817797,Bed
frozenset({'Bedroom'}),0.011441844314728257,Bedroom
frozenset({'Sports'}),0.02714319667060535,Sports
frozenset({'Water'}),0.02043619924451464,Water
frozenset({'Gown'}),0.1706365326559474,Gown
frozenset({'Beverage'}),0.04868683429384369,Beverage
frozenset({'Plywood'}),0.019824326898279173,Plywood
frozenset({'Grass'}),0.03498797325291904,Grass
frozenset({'Wedding'}),0.03553579284665603,Wedding
frozenset({'Wedding Gown'}),0.028818681828065556,Wedding Gown
frozenset({'Pedestrian'}),0.015620443615879014,Pedestrian
frozenset({'Blanket'}),0.01594913537212121,Blanket
frozenset({'Blazer'}),0.042099514379000134,Blazer
frozenset({'Blonde'}),0.13167897434687262,Blonde
frozenset({'Blossom'}),0.05647598611740869,Blossom
frozenset({'Blouse'}),0.013992155223417686,Blouse
frozenset({'Shelf'}),0.0202861809557682,Shelf
frozenset({'Window'}),0.017823521182076692,Window
frozenset({'Portrait'}),0.20494183841513264,Portrait
frozenset({'Hair'}),0.3567434906390273,Hair
frozenset({'Poster'}),0.010942907084740106,Poster
frozenset({'Haircut'}),0.02760673632684434,Haircut
frozenset({'Wood'}),0.06419097159597546,Wood
frozenset({'Worker'}),0.02401135419317973,Worker
frozenset({'Hand'}),0.017078486534594386,Hand
