itemsets,support,itemsets_strings
frozenset({'Female'}),1.0,Female
frozenset({'Clothing'}),0.8443501258299467,Clothing
frozenset({'Apparel'}),0.8443501258299467,Apparel
frozenset({'Girl'}),0.3593308847202159,Girl
frozenset({'Hair'}),0.3567434906390273,Hair
frozenset({'Photo'}),0.2740497015647413,Photo
frozenset({'Photography'}),0.2740497015647413,Photography
frozenset({'Coat'}),0.2517711428865204,Coat
frozenset({'Room'}),0.2464615068241465,Room
frozenset({'Furniture'}),0.2373019632168641,Furniture
frozenset({'People'}),0.2372918496243643,People
frozenset({'Kid'}),0.20874623479379228,Kid
frozenset({'Child'}),0.20874623479379228,Child
frozenset({'Fashion'}),0.2053177269363737,Fashion
frozenset({'Portrait'}),0.20494183841513264,Portrait
frozenset({'Teen'}),0.2032545540664227,Teen
frozenset({'Crowd'}),0.17901732964074835,Crowd
frozenset({'Robe'}),0.17883528497575266,Robe
frozenset({'Accessory'}),0.17201029563716475,Accessory
frozenset({'Accessories'}),0.1720086100384148,Accessories
frozenset({'Gown'}),0.1706365326559474,Gown
frozenset({'Plant'}),0.16965719978222066,Plant
frozenset({'Overcoat'}),0.16252374587239007,Overcoat
frozenset({'Finger'}),0.1617601696386582,Finger
frozenset({'Dating'}),0.1465897808890185,Dating
frozenset({'Pub'}),0.13290271903934356,Pub
frozenset({'Blonde'}),0.13167897434687262,Blonde
frozenset({'Evening Dress'}),0.12947083998442507,Evening Dress
frozenset({'Bar Counter'}),0.12328974936832185,Bar Counter
frozenset({'Man'}),0.11787560618345044,Man
frozenset({'Suit'}),0.113767802029798,Suit
frozenset({'Jacket'}),0.10339968411879426,Jacket
frozenset({'Outdoors'}),0.10322606744754838,Outdoors
frozenset({'Leisure Activities'}),0.10028806882636816,Leisure Activities
frozenset({'Sleeve'}),0.09732984302018842,Sleeve
frozenset({'Home Decor'}),0.0931411301265379,Home Decor
frozenset({'Performer'}),0.08788711882291267,Performer
frozenset({'Smile'}),0.08682182041293797,Smile
frozenset({'Dress'}),0.07839382666313814,Dress
