itemsets,support,itemsets_strings
frozenset({'Finger'}),0.12124184665571638,Finger
frozenset({'Accessories'}),0.2546414493669746,Accessories
frozenset({'Accessory'}),0.2546414493669746,Accessory
frozenset({'Audience'}),0.034431145079171166,Audience
frozenset({'Cap'}),0.013849426584283021,Cap
frozenset({'Long Sleeve'}),0.014239182233692901,Long Sleeve
frozenset({'Plywood'}),0.02776435831972737,Plywood
frozenset({'Car'}),0.013625071441555486,Car
frozenset({'Suit'}),0.23948355738824412,Suit
frozenset({'Leisure Activities'}),0.09284208836972417,Leisure Activities
frozenset({'Sunglasses'}),0.025178542477634083,Sunglasses
frozenset({'Alcohol'}),0.020766770546918882,Alcohol
frozenset({'Light'}),0.0125376859322775,Light
frozenset({'Portrait'}),0.23662589516883134,Portrait
frozenset({'Flower'}),0.01019587677826015,Flower
frozenset({'Video Gaming'}),0.018246459855986927,Video Gaming
frozenset({'Ear'}),0.025132688871821157,Ear
frozenset({'Food'}),0.028807527851971458,Food
frozenset({'Press Conference'}),0.01112768755352999,Press Conference
frozenset({'Animal'}),0.01680207127287972,Animal
frozenset({'Chair'}),0.025853245534595726,Chair
frozenset({'Prison'}),0.02206541016869214,Prison
frozenset({'People Kissing'}),0.013775733289226532,People Kissing
frozenset({'Table'}),0.05741854025045894,Table
frozenset({'Table Lamp'}),0.030536863842630425,Table Lamp
frozenset({'Child'}),0.02010844377774757,Child
frozenset({'Apparel'}),0.7485945051003948,Apparel
frozenset({'Pub'}),0.1490029297178857,Pub
frozenset({'Man'}),1.0,Man
frozenset({'Furniture'}),0.15948702916125568,Furniture
frozenset({'Teen'}),0.021714957609979053,Teen
frozenset({'Hug'}),0.017841965547565748,Hug
frozenset({'Clothing'}),0.7485945051003948,Clothing
frozenset({'Arm'}),0.029367596894400782,Arm
frozenset({'Frown'}),0.02397488532504475,Frown
frozenset({'Coat'}),0.4039014868031685,Coat
frozenset({'Piano'}),0.030464808176352966,Piano
frozenset({'Text'}),0.02196879007072919,Text
frozenset({'Senior Citizen'}),0.01049556284482321,Senior Citizen
frozenset({'Art'}),0.020124820065537903,Art
frozenset({'Theater'}),0.01606350069353579,Theater
frozenset({'Glass'}),0.022376559636708433,Glass
frozenset({'Glasses'}),0.06652539389066207,Glasses
frozenset({'Speech'}),0.012716187469192109,Speech
frozenset({'Leather Jacket'}),0.01343838176074571,Leather Jacket
frozenset({'Restaurant'}),0.024025651817194776,Restaurant
frozenset({'Tie'}),0.15814581119122756,Tie
frozenset({'Electronics'}),0.07989335761390937,Electronics
frozenset({'Computer'}),0.01405413018166216,Computer
frozenset({'Robe'}),0.026519760447662202,Robe
frozenset({'Automobile'}),0.013625071441555486,Automobile
frozenset({'Gown'}),0.022897325588440962,Gown
frozenset({'Monitor'}),0.03348132038733196,Monitor
frozenset({'Room'}),0.28737109814473033,Room
frozenset({'People Laughing'}),0.02078642209226728,People Laughing
frozenset({'Building'}),0.0327214606338606,Building
frozenset({'Couch'}),0.022494468908798814,Couch
frozenset({'Transportation'}),0.032859021451299375,Transportation
frozenset({'Tree'}),0.017530816079549455,Tree
frozenset({'Musical Instrument'}),0.06471908934738856,Musical Instrument
frozenset({'Musician'}),0.055833315592354896,Musician
frozenset({'Hair'}),0.19369545672647834,Hair
frozenset({'Nature'}),0.046842733595463114,Nature
frozenset({'Haircut'}),0.015295452796169258,Haircut
frozenset({'Necktie'}),0.04580938983589322,Necktie
frozenset({'Screen'}),0.04401127343651486,Screen
frozenset({'Crowd'}),0.18197986044127545,Crowd
frozenset({'Hand'}),0.020419593245763864,Hand
frozenset({'Tuxedo'}),0.04356583840861786,Tuxedo
frozenset({'Crypt'}),0.013551378146498995,Crypt
frozenset({'Night Life'}),0.057423453136796046,Night Life
frozenset({'Door'}),0.06018940814458297,Door
frozenset({'Urban'}),0.012857023544188956,Urban
frozenset({'Selfie'}),0.019826771627753877,Selfie
frozenset({'Shirt'}),0.09285682702873548,Shirt
frozenset({'Cushion'}),0.03274766269432512,Cushion
frozenset({'Pedestrian'}),0.027084742376428626,Pedestrian
frozenset({'Vehicle'}),0.03205494572079412,Vehicle
frozenset({'Shaking Hands'}),0.026663871780217115,Shaking Hands
frozenset({'Shelf'}),0.022936628679137757,Shelf
frozenset({'Beard'}),0.02806568201506946,Beard
frozenset({'Dating'}),0.0970524319606183,Dating
frozenset({'Interior Design'}),0.07875848087003942,Interior Design
frozenset({'Vigil'}),0.030192961799033472,Vigil
frozenset({'Outdoors'}),0.0666596794505428,Outdoors
frozenset({'Boy'}),0.015056358994430424,Boy
frozenset({'Beverage'}),0.03923103503051721,Beverage
frozenset({'Overcoat'}),0.310301176308752,Overcoat
frozenset({'Court'}),0.12878148955438484,Court
frozenset({'Home Decor'}),0.05897264996176137,Home Decor
frozenset({'Lighting'}),0.014072144098231525,Lighting
frozenset({'Pants'}),0.03496992494747306,Pants
frozenset({'Water'}),0.011265248370968772,Water
frozenset({'Sitting'}),0.07280897551581213,Sitting
frozenset({'Blazer'}),0.0759335712262073,Blazer
frozenset({'Skin'}),0.05355209870316177,Skin
frozenset({'Blossom'}),0.01019587677826015,Blossom
frozenset({'Display'}),0.03348132038733196,Display
frozenset({'Sleeve'}),0.05269889410928552,Sleeve
frozenset({'Jacket'}),0.18054202237328437,Jacket
frozenset({'Pc'}),0.01182204215584003,Pc
frozenset({'Window'}),0.015200470326985339,Window
frozenset({'Girl'}),0.02239129829571973,Girl
frozenset({'Smile'}),0.028457075293258374,Smile
frozenset({'Desk'}),0.0110539942584735,Desk
frozenset({'Dress Shirt'}),0.011987442662522375,Dress Shirt
frozenset({'People'}),0.1776401441768377,People
frozenset({'Drink'}),0.03923103503051721,Drink
frozenset({'Woman'}),0.05217812815755299,Woman
frozenset({'Jaw'}),0.0508778509070007,Jaw
frozenset({'Driving'}),0.010708454586097513,Driving
